肺泡蛋白质沉积症,约40%
红斑狼疮,60%
混合结缔组织病,90%
碱性磷酸钙结晶沉积病,20%
巨细胞动脉炎,85%
结节性多动脉炎,40%
结节性脂膜炎,50%
急性化脓性腱鞘炎,90%
结节病,60%
肩关节结核,60%
急性淋巴管炎,治愈率89%
枯草热,75%
类风湿关节炎,80%
慢性皮肤粘膜念珠菌病,85%
慢性肉芽肿病,70%
皮下脂质肉芽肿病,60%
盘状红斑狼疮,70%
皮肤过敏,90%
强直性脊柱炎,20%(控制症状治疗为主，手术为辅。)
羟磷灰石沉积病,60%
气性坏疽,60%
Reiter综合征,75%
乳房纤维瘤,79%
软组织肿瘤,60%
嗜酸性筋膜炎,50%
Ⅳ型超敏反应性疾病,70-80%
Ⅲ型超敏反应性疾病,40-60%
手掌深部间隙感染,90%
食物变应性和不耐受性,脱敏治疗，根治率约50-60%
痛风,60%
痛风性关节炎,75%
物理性变应性,50-60%
小儿风湿热,80%
先天性胸腺发育不全,无法根治
血清病,60%
选择性IgA缺乏症,65%
纤维瘤病,95%
新生儿皮下坏疽,65%
原发性免疫缺陷病,40%
银屑病关节炎,50%
遗传性补体缺陷病,40%
遗传性血管性水肿,65%
药物过敏,70%
严重联合免疫缺陷病,30%
Ⅰ型超敏反应性疾病,治愈率99%
硬皮病,30%
重叠综合征,70%
创伤性窒息,60%
创伤性气胸,60%
动脉硬化性闭塞症,85%
肺栓塞和肺梗死,20%
肺错构瘤,85%
肺爆震伤,80%
肺包虫病,65%-75%
感染性肋软骨炎,74%
膈肌膨出,外科手术治愈率约为75-80%
急性气管－支气管炎,97.4%
鸡胸,40%--50%
矫正型大动脉错位,75%
继发性纵隔感染,74%
局限型间皮瘤,65%
急性脓胸,80%
肋骨骨折,80%
联合瓣膜病变,治愈率82.6%
漏斗胸,50%
慢性支气管炎,90%
慢性缩窄性心包炎,50%
慢性心功能不全,75%
慢性心包炎,治愈率75%
慢性心力衰竭,70%
梅毒性心血管病,30%
慢性肺炎,73%
慢性脓胸,70%
乳头肌功能不全,63%
食管裂孔疝,89%
损伤性休克,50%
缩窄性心包炎,30-50%
外伤性乳糜胸,50%
心脏穿透伤,60%
胸骨骨折,55%
限制型心脏病,70%
胸廓出口综合征,10-30%
先天性膈疝,95%
心性猝死综合征,70%
心脏钝性闭合伤,80%
原发性心脏肿瘤,40%
右心室双出口,80%
永存动脉干,70%
预激综合征,80%
原发性纵隔感染,60%
原发性纵隔肿瘤,30%
纵隔脓肿,85%
转移性胸膜肿瘤,40%
搏动性眼球突出症,30%
创伤性枢椎前滑脱,60%
侧脑室肿瘤,45%-65%
第四脑室肿瘤,20%
顶叶肿瘤,30%
短颈畸形,75%
多发性颅内血肿,80%
蝶窦恶性肿瘤,10%
第三脑室肿瘤,20%
额叶肿瘤,10%
耳源性脑积水,70%
耳内脑膜脑疝,80%
高血压性脑出血,30%
高血压脑病,80%
寰椎骨折脱位,60-70%
系统性红斑狼疮,0.1%(治愈率极低)，预后不良
颈椎半脱位,70%
颈椎骨折脱位,40%
颈椎管狭窄症,70%
颈椎过伸性损伤,70%
颈椎后脱位,75%
颈椎后纵韧带骨化症,60%
颈椎黄韧带骨化症,70%(
颈椎结核,60%
颈椎小关节创伤性退变性关节炎,55%，多以对症治疗为主
颈椎椎弓裂,65%
基底节血肿,40%
急性单纯疱疹病毒性脑炎,30--50%
急性颈椎间盘突出症,80%
脊椎结核,70%
脊柱裂,75%
肌营养不良症,60%
急性硬脑膜外血肿,70%
急性和亚急性硬脑膜下血肿,80%
急性及亚急性脑内血肿,70%
脊髓小脑变性症,60%
颅骨骨髓炎,50--70%
颅骨缺损,90%
颅底骨折,85%
颅内动脉瘤,70-80%(外科手术治疗)
颅内低压性头痛,70%
颅内占位性病变引起的头痛,40%
颅内转移瘤,40%
帽状腱膜下脓肿,60%
面神经损伤,40%
慢性硬脑膜外血肿,60%
脑室炎,20%
脑性瘫痪,72%
脑囊虫病,68%
脑疝,60%
脑蛛网膜下腔出血,75%
脑震荡,40%
脑血栓形成,60%
脑损伤后综合征,10%
脑室内出血,75%
脑脊液漏,92%
脑弓形体病,10%
脑挫裂伤,60%
脑膜炎,50%
脑积水,65%
脑结核瘤,40%
脑垂体腺瘤,70%
脑膜瘤,75%
皮脂腺囊肿,98%
迁延性昏迷,50%
丘脑下部损伤,75%
上皮样囊肿,78%
神经胶质瘤,50-60%
散发性脑炎,60%
头皮血肿,80%
听神经鞘瘤,30%
外伤性颈内动脉海绵窦瘘,40%
外伤性癫痫,60%
外伤后脑脂肪栓塞,60%
外伤后脑膨出,60%
外伤后颅内积气,60%
外伤后低颅压综合征,70%
外伤后头痛,95%
外伤性硬脑膜下积液,60%
先天性脑积水,65%(外科手术治疗)
新生儿颅内出血,65%
小脑扁桃体疝,70%
先天性肿瘤,20%-40%
硬脑膜下血肿,70%
蛛网膜下腔出血,70%
中风,50%
周围神经损伤,85%
胆囊癌,预后差，如肿瘤局限于胆囊，2年存活率可达到45%
胆囊腺肌增生病,30%
胆结石,95%
胆管良性狭窄,10%
胆管扩张症,30%
胆管结石与胆管炎,60%
胆道蛔虫病,80%
胆道出血,80%
乏特壶腹周围癌,30%
肝棘球蚴病,60%
肝性血卟啉病综合征,30-50%
肝内胆管结石,外科手术治愈率约为70%
肝包虫病,60%
环状胰腺,65%
急性结石性胆囊炎,70%
急性出血坏死型胰腺炎,70%
溃疡病急性穿孔,80%
慢性胆囊炎,80%
慢性胆管炎,85%
门静脉高压症,60%
生长激素释放抑制素瘤,90%
胰腺癌,30%
胰腺囊腺癌,40%
原发性硬化性胆管炎,75%
异位胰腺,70%-80%
胰腺外伤,外科手术治愈率约为70%-80%
胰腺囊肿,95%
胰腺脓肿,70%-80%
胰腺瘘,60%
胰腺多肽瘤,80%
胰石症,80%
胰岛细胞类癌,70%
包皮龟头炎,90%
包皮阴茎头炎,80%
附睾炎,60%
非细菌性前列腺炎,80%
梗阻性肾病,70%
睾丸扭转,90%
后尿道瓣膜,60%
结核性膀胱挛缩,70-80%
结核性膀胱自发破裂,60%
急性膀胱炎,80%
精索静脉曲张,85%
男生殖系结核,93.4%
尿道下裂,外科治愈率约60%
尿路梗阻,90%
尿瘘,70%
尿道创伤,70%
尿道狭窄,85%
尿道损伤,80%
男性尿道癌,10--20%
女性尿道癌,80%
膀胱损伤,85%
膀胱结石,90%
膀胱瘘,80%
膀胱外翻,外科手术治愈率约为60%
脐尿管囊肿及脐尿管瘘,60%
鞘膜积液,80%
前列腺增生,87%
前列腺炎,40%
前列腺癌,50%
射精功能障碍,80%
肾上腺性征异常症,85%
肾损伤,70%
输尿管结石,治愈率90%
肾创伤,80%
肾上腺髓质功能亢进,75%
肾皮质髓质脓肿,80%
肾皮质脓肿,70%
肾周脓肿,30%
肾盂癌,20%
肾胚胎瘤,30%
肾盂肿瘤和输尿管肿瘤,72%
肾癌,40%
隐睾,70%
遗精,90%
阴茎异常勃起,70%
婴幼儿外阴炎,90%
阴茎硬结症,30%
I型肾小管性酸中毒,40-50%
白线疝,80%
成人脐疝,80%
穿腹膜疝,60%-70%
儿童遗粪症,35%
腹膜后血肿,80%
腹内疝,90%
腹股沟直疝（疝气）,90%
腹股沟斜疝,一般经过手术治疗后，一般95%可以治愈
粪瘘,60%
肛窦炎,60%
肛瘘,80%
肛门瘙痒症,60%
肛门失禁,60%
肛门外伤,60%
肛门异位,70%
肛乳头炎,60%-70%
肛周脓肿,83%
骨盆直肠脓肿,60%
肛门直肠周围脓肿,90%
肛裂,98%
肛周湿疹,60--80%
孤立性直肠溃疡综合征,85%
肛提肌综合征,40-60%
会阴裂伤,99%
结肠过敏症,80%
急性出血性坏死性小肠炎,治愈率87%
结肠脂肪瘤,外科手术治愈率约为90%
溃疡病大出血,92%
蓝氏贾第鞭毛虫病,70%
盲肠肉芽肿,90%
内痔,90%
蛲虫病,80%
外痔,80%
先天性直肠与周围脏器瘘,75%
直肠息肉,85%
直肠癌,75%
痔疮,80%
直肠内异物,75%
坐骨直肠窝脓肿,60%
直肠重复畸形,75%
直肠阴道瘘,外科手术治愈率约为60%
直肠前突,68%-75%
直肠闭锁,75%
扁平足,60%
髌骨骨折,80%
髌骨软化症,30%
变形性骨炎,75%
剥脱性骨软骨炎,75%
髌股关节疼痛,75%
鼻骨骨折,85%
耻骨结核,0.0001%
尺桡骨干双骨折,85%
成骨不全,75%
尺骨上1/3骨折合并桡骨头脱位,95%
尺骨下1/3骨折合并下尺桡关节脱位,95%
尺桡骨干骨折,90%
脆弱性骨硬化,95%
创伤性肘关节炎,60%
尺骨鹰嘴骨折,60%
成软骨细胞瘤,40%
第三腰椎横突综合征,80%
动脉瘤样骨囊肿,60%-70%
断指再植,80%
多发性骨骺发育异常,1%
点状骨骺发育异常,95%
单侧关节突关节脱位,60%
骶髂关节结核,35%
骶髂关节扭伤,95%
风湿性关节炎,85%
腓骨近端骨折,60%
Friedreich共济失调症,0.001%
腓骨肌萎缩症,85%
骨肉瘤,20%
骨折,95%
感染性关节炎,87%
关节脱位,100%
跟骨骨折,
肱骨干骨折,90%
肱骨髁上骨折,90%
肱骨内髁骨折,60%
肱骨外髁骨折,60%
佝偻病,97%
股骨粗隆间骨折,95%
股骨干骨折,本病经过系统治疗99%都可以治愈
骨硬化病,40%
骨放线菌病,75%-85%
骨化性肌炎,95%
骨巨细胞瘤,70%
骨囊肿,外科手术治愈率约为70%
骨盆骨折,88%
骨纤维异常增殖症,60%
骨软骨瘤,外科手术治愈率约为85%
肱骨小头骨折,90%
骨干续连症,70%
骨与关节结核,70-80%
骨肿瘤,外科手术治愈率约为40-80%，具体根据肿瘤的性质决定
股骨大粗隆结核,10%
肱骨远端全骺分离,20%
肱骨内上髁骨折,90%
骨包囊虫病,30%
股骨头骨骺骨软骨病,60%
骨样骨瘤,75%
骨髓炎,70%
肱骨外上髁炎,89%
腘肌腱损伤,70%
跟腱前囊炎,15%-25%
骨与关节梅毒,0.0001%
骨外软骨肉瘤,30%
骨旁骨肉瘤,75%
骨膜性软骨肉瘤,0.02%
骨的原发性淋巴瘤,45%
骨雅司病,10%
股骨髁骨折,80%
跟骨骨髓炎,60%
高弓足,大部分有效
股骨颈骨折,89%
肱骨外科颈骨折,85%
股骨头坏死,20%
肱骨内上髁炎,90%
股后肌劳损,75%-85%
跟腱后滑囊炎,以缓解症状为主，完全治愈率约20-40%
跟骨骨刺综合征,70%
颌骨骨折,80%
喙突胸小肌综合征,80%
寰枢椎旋转脱位固定,65%
寰枢关节脱位,治愈率78%
化脓性关节炎,80%
颌骨造釉细胞瘤,80%
踝部骨折,80%
踝关节扭伤,98%
滑囊炎,90%
滑膜肉瘤,55%
横纹肌肉瘤,10%
褐黄病性关节炎,20%-30%
颌面部骨巨细胞瘤,70%
踝扭伤,98%
间充质软骨肉瘤,30%
假痛风性关节炎,60%
距骨骨折,95%
局限性骨脓肿,85%
颈肋综合征,70%
肩-手综合征,60%
脊椎椎弓峡部裂,40%
脊椎结核后突畸形,60%
脊椎结核并发截瘫,55%
脊柱侧凸,50%
脊柱、脊髓损伤,10%
脊髓空洞症,60%
急性血源性骨髓炎,80%
畸形性骨炎,75%
肌萎缩侧索硬化症,0%
急性腰扭伤,90%
肩关节脱位,90%
脊椎结核寒性脓肿穿入空腔脏器,60%
脊髓肿瘤,40%
距骨后外结节骨折,70%
肌张力异常,85%(多见于颅脑外伤者)
痉挛性斜颈,60%
肌腱炎和腱鞘炎,98%
脊髓灰质炎,35%
胫骨髁骨折,70-80%
胫骨内髁骨软骨病,外科手术治愈率约为85%
胫骨结节骨软骨病,外科手术治愈率约为85%
胫腓骨干骨折,90%
进行性脊髓性肌萎缩症,70%
进行性骨干发育不全,70%
甲状旁腺骨营养不良,85%
脊椎结核并发窦道,70%
脊椎骨髓炎,60%
肌萎缩性侧索硬化,50%
胫腓骨骨折,79%
僵鉧,65%
胫后神经痛,30%-50%
眶底骨折,90%
髋关节脱位,95%
髋关节结核,75%
肋锁综合征,75%
梨状肌综合征,90%
Maffucci综合征,80%
慢性化脓性骨髓炎,80%
难产,95%
颞骨骨折,96%
颞下颌关节脱位,90%
颞下颌关节强直,70%
颧骨骨折,80%
缺血性坏死,60%
屈肌腱损伤,60-70%
前斜角肌综合征,60%
桡骨小头骨骺分离,治愈率89%
桡骨下端骨折,治愈率89%
桡骨颈骨折,98%
桡骨、尺骨茎突骨折,治愈率98%
桡骨小头半脱位,85%
软骨肉瘤,90%
软骨瘤,90%
软骨发育异常,80%
软骨发育不全,30%
桡骨小头骨折,100%
桡骨远端骨折,99%
松毛虫性骨关节病,40%
锁骨骨折,95%
枢椎齿状突骨折,85%
神经性关节病,52%
神经卡压综合征,75%
伸指肌腱损伤,70%
少年性椎体骨软骨病,40%
色素绒毛结节性滑膜炎,75%
同型胱氨酸尿症,60%
退变性关节病,60%
听小骨创伤,80%
特发性脊柱侧凸,40%
透明细胞软骨肉瘤,76%
维生素D缺乏性佝偻病,70%
无脊髓损伤的颈椎骨折脱位,60%
腕舟骨骨折,60%
腕管综合征,90%
腕关节结核,60%
斜颈,50%
先天性肘关节融合,70-80%
先天性仰趾外翻足,40%
先天性锁骨假关节,80%
先天性马蹄内翻足,大部分可以治愈，少部分残余畸形
先天性髋内翻,75%
先天性胫骨假关节,80%
先天性脊柱侧凸,60%
先天性肌性斜颈,90%
先天性高肩胛症,70%
先天性尺桡骨融合,90%
颈椎双侧关节突关节脱位,80%
习惯性髌骨脱位,60%
膝关节结核,治愈率92%
先天性桡骨缺如,30%
胸椎结核椎旁脓肿穿入胸腔,35%
先天性颅锁骨发育不全,50%
下背部痛,60%
纤维肌痛症,65%
先天性椎体畸形,40%
先天性外展性髋挛缩,60%
先天性胫骨缺如,60%
先天性颈椎齿状突畸形,80%
先天性桡骨小头脱位,80%
先天性多发性关节挛缩症,0.02%
先天性垂直距骨,30%
系统性红斑狼疮性关节炎,60%
膝关节创伤性滑膜炎,60%
膝关节半月板损伤,70%
先天性肩关节脱位,0.02%
旋转带肌腱炎,50%
腰肌劳损,80%
月状骨骨软骨病,50%
月骨脱位,80%
腰部慢性劳损,65%
眼眶击出性骨折,70%
眼眶骨折,80%
坐骨神经痛,60%
跖骨疲劳性骨折,60%
灼性神经痛,85%
椎管内结核肉芽肿,10-20%
肘关节结核,60%
跖骨、趾骨骨折,85%
掌指关节脱位,100%
肘关节脱位,90%
肢骨纹状肥大,55%-65%
椎弓结核,70%
趾间神经痛,80%
肘关节骨化肌炎,85%
肘关节强直,80%
肘外翻,外科手术治愈率约为50-80%
足舟状骨骨软骨病,80%
姿态性腰腿痛,70%
周围性软骨肉瘤,60%
致密性髂骨炎,70%
跖趾关节痛,85%
闭合性脑外伤,60%
鼻窦创伤,50-60%
鼻疖,80%
鼻窦气压性创伤,90%
爆震性耳聋,75%
创伤性溃疡,60%
尺神经损伤,85%
创伤性鼻中隔穿孔,85%
创伤性鼻出血,80%
电击伤,60-70%
非冻结性冷伤,80%
腹部创伤,80%
鼓膜外伤,70-80%
喉部创伤,88%
急性失血所致贫血,80%
急性单纯外伤性腰腿痛,80%
晶体脱位,85%
开放性脑外伤,70%
开放性手外伤,95%
慢性单纯外伤性腰腿痛,85%
脓性指头炎,99%
气压创伤性中耳炎,60%
强酸类中毒,50-60%
梭状芽胞杆菌伤口感染,30%
头皮感染,60%
头外伤,80%
血胸,70%
咽部机械性创伤,80%
腰腿痛,40-50%
咽喉部外伤,90%
冻僵,60%
电烧伤,60%
化学烧伤,60%
热烧伤,30%-50%
应激性溃疡,治愈率98%，溃疡愈合后一般不留瘢痕
烧伤感染,60%
烧伤,70%
烧伤休克,60%
头皮及颅骨烧伤,60%
小儿烧伤,轻症治愈率100%，严重烧伤可致死亡
咽喉烧伤及化学伤,80%
咽部灼伤,78%
眼烧伤,50%
鸡眼,60%
疖,99%
皮肤囊肿,85%
色素痣,80%
痈,95%
鼻血管瘤,75%
急性动脉栓塞,60%
脑动静脉畸形,80%
四肢血管损伤,85%
血管网织细胞瘤,80%
血管肉瘤,80%，局部复发及远处转移几率较高
血管活性肠肽瘤,80%
下肢深静脉血栓形成,75%
拇指再造,80%
柏哲病,70%
产褥期乳腺炎,89%
急性化脓性乳腺炎,95%
乳腺囊性增生症,98%
乳房纤维腺瘤,95%
乳腺结核,60%
鼻咽癌,10%
鼻咽肉瘤,50%
鼻咽血管纤维瘤,95%
成纤维性纤维瘤,60%
单发性骨软骨瘤,60%
多发性遗传性骨软骨瘤,10%
多发性软骨瘤,10%
恶性葡萄胎,80%
耳部恶性肿瘤,20%
血管内皮瘤,20%
恶性纤维组织细胞瘤,10%
颞叶肿瘤,30%
恶性黑色素瘤,80%
腹膜后肿瘤,60%
非霍奇金淋巴瘤,70%
非骨化性纤维瘤,60%
反分化软骨肉瘤,60%
非炎性单纯性突眼,20%
高泌乳素血症,70%
宫颈癌,40%
骨血管瘤,78%
骨外尤文氏瘤,0.1%
骨外骨肉瘤,40%
骨母细胞瘤,70%
骨膜性软骨瘤,60%
骨化性纤维瘤,75%
骨的恶性纤维组织细胞瘤,30%
骨瘤,99%
睾丸肿瘤,10%-30%
颌面部神经纤维瘤,70%
颌面部淋巴管瘤,20%
喉癌,50%
汗管瘤,70%
基底细胞瘤,95%
浆细胞瘤,50%
脊索瘤,40%
甲状腺癌,30%
颈部囊状淋巴管瘤,75%
Kaposis肉瘤,30%
卡波西肉瘤,70%
眶假瘤,60%-70%
卵巢癌,20%
良性葡萄胎,80%
淋巴管肉瘤,10%
良性纤维组织细胞瘤,80%
淋巴管瘤,85%
颅咽管瘤,30%
淋巴水肿,40%
鳞状细胞癌,65%-75%(上述外科手术治愈率)
弥漫性恶性间皮瘤,75%
弥漫型间皮瘤,30%
弥漫性血管内凝血,40%
粘液表皮样癌,70%
平滑骨肉瘤,65%
皮肤癌,10%
葡萄膜恶性黑色素瘤,65%
乳管内乳头状瘤,70%
软腭癌,30%
绒毛膜癌,35%
软骨粘液样纤维瘤,60%
软骨母细胞瘤,10-30%
乳头状囊腺瘤,90%
舌癌,75%
上颌窦癌,70%
神经纤维肉瘤,60%
上皮样肉瘤,40%
神经瘤,0.1%
上颌窦恶性肿瘤,55%
筛窦恶性肿瘤,30%
视网膜母细胞瘤,80%
听神经瘤,65%
纹状骨瘤,5%
外阴癌,70%
网状细胞肉瘤,5%
外耳道乳头状瘤,95%
腺泡状软组织肉瘤,70%
纤维肉瘤,40%
涎腺癌,10%
纤维软骨间质瘤,40%
小肠肿瘤,本病在三级医院手术治疗后5年生存率在40%-80%左右。
牙瘤,55%
咽部脊索瘤,5.3%
咽部混合瘤,60%
原发性椎管内肿瘤,40%
阴茎癌,65%(外科手术治疗)
硬纤维瘤,85%
尤文氏肉瘤,55%
阴道恶性肿瘤,
眼眶肉瘤,75%
咽畸胎瘤,85%
牙龈癌,68%
脂肪瘤,99%
子宫内膜癌,40%
脂肪肉瘤,正规三甲医院治愈率为50%
中耳癌,30%
中心性软骨肉瘤,60%
枕叶肿瘤,73%
阿米巴性阴道炎,80%
女性不孕症,一般经过特殊治疗后，90%能够治愈
处女膜闭锁,98%
滴虫性阴道炎,93%
单纯性外阴炎,98%
附件炎,80%
非特异性阴道炎,96%
宫外孕,82%
宫颈白斑,80%
宫颈外翻,60%
宫颈息肉,70%
宫颈糜烂,80%
功血,70%
更年期综合征,70%
经前期综合征,一般在正规综合三甲医院的典型病例治愈率（治愈率86%）
急性子宫内膜炎,80%
急性宫颈炎,99%可以治愈
老年性阴道炎,65%-75%
卵巢囊肿,98%
卵巢破裂,90%
慢性宫颈炎,80%
霉菌性外阴炎,100%，但可能会反复感染
慢性子宫内膜炎,98%
慢性输卵管卵巢炎,70%
盆腔炎,85%
葡萄胎,60%
盆腔淤血综合征,80%
盆腔腹膜炎,90%
前置胎盘,无法治疗，必要时终止妊娠
前庭大腺炎,93%
妊娠合并糖尿病,85%
妊娠期心脏病,90%
妊高征,80%
输卵管妊娠,91%
生殖器念珠菌病,70%
胎盘早剥,70-80%
痛经,98%(一般经过有效治疗后98%可以治愈)
外阴瘙痒,80%
外阴白色病变,70%
外阴炎,99%
先天性无阴道,20%
性交疼痛,60%
幼女性外阴阴道炎,99%
月经不调,69%
阴道痉挛,90%
月经周期性精神病,80%
阴道横隔,70%
霉菌性阴道炎,95%(一般经过系统治疗后98%以上患者都能治愈。)
阴道毛滴虫病,99%都能治愈
子宫肥大,50--70%
子宫肌瘤,90%
子宫发育异常,10%
子宫内膜异位症,70%
子宫脱垂,外科手术治愈率约为60-70%
子宫息肉,96%
持续性枕后位、枕横位,87%
产后出血,98%
多胎,98%
过期妊娠,治愈率99%
弓形虫病,60%
流产,80%
胎膜早破,经过分泌治疗后，100%可以痊愈
脐带脱垂,85%
妊娠合并肺结核,80%
妊娠合并甲亢,80%
妊娠合并病毒性肝炎,80%
臀先露,99%
羊水栓塞,20%
子宫收缩过强,90%
子宫收缩乏力,80%
子宫破裂,85%
早产,89%
早产儿,50%
肠梨形鞭毛虫病,30%
出血性休克和脑病综合征,患儿死亡率大于60%，存活者中70%以上有严重的神经系统后遗症
多种抽动综合征,78%
鹅口疮,99%
小儿多动症,70%
儿童抽动障碍,80%
儿童孤独症,60%
儿童急性良性肌炎,70%
儿童期情绪障碍,70%
儿童精神分裂症,60%
过期产儿,78%
结节性硬化,30%以下
巨细胞病毒感染症,70%
流行性腮腺炎,一般经过系统治疗100%都能够治愈。
朗格汉斯细胞组织细胞增生症,80%
