肺泡蛋白质沉积症,约3个月
原发性醛固酮增多症,2-4个月
c胰岛功能性β细胞瘤,2-3个月
胰岛素瘤,3-6个月
原发性甲状旁腺功能亢进症,3-6个月
溢乳闭经综合征,6个月
白细胞减少症和粒细胞缺乏症,1-2个月
白血病,3-5年
白血病性咽峡炎,15天
出血性疾病,1-3个月
单纯红细胞再障性贫血,30天
低钙血症和低镁血症,1-3个月
地中海贫血,1-3个月
多发性骨髓瘤,4-6个周期
恶性组织细胞病,1-3个月
恶性淋巴瘤,6个月
非酮症高血糖-高渗性昏迷,2--6周
复合型酸碱失衡,2-4周
骨髓痨性贫血,1-2年
骨髓纤维化,终身间歇性治疗
骨髓增生异常综合征,30天
过敏性紫癜,7-10天
何杰金病,3个月
获得性血小板功能障碍,1-3个月
获得性循坏抗凝物质增多综合征,2-3月
化脓性骨髓炎,1-3个月
霍奇金淋巴瘤,1-3月
菌血症,2-3个月
巨球蛋白血症,6-8月
急性白血病,3-6月
巨幼细胞性贫血,4-6个月
急性淋巴细胞性白血病,1-3年
淋巴细胞减少症,国内最认可的治疗手段治疗周期在30天内
镰状细胞病,终身间歇性对症治疗
类白血病反应,2--6周
粒细胞缺乏症,2-4周
绿色瘤,1-3个月
镁过多症,1-3个月
镁缺乏症,1个月
慢性疾病的贫血,30天
弥散性血管内凝血,7-14天
慢性骨髓炎,1-2年
慢性粒细胞性白血病,1-2年
慢性淋巴细胞性白血病,1-2个月
尿道上裂,10-30天
充血性脾肿大,3-6个月
贫血,1--6个月
破伤风,1-3个月
脾功能亢进症,1个月
葡萄糖-6-磷酸脱氢酶缺乏症,3个月
缺铁性贫血,30-60天
溶血过度所致贫血,3个月
溶血性贫血,1-3个月
失血性休克,根据原发病的情况而定
嗜酸性细胞增多症,1-3个月
特发性高嗜酸性细胞综合征,1-3年
特发性血小板减少性紫癜,1-2个月
铁利用性贫血,2--6个月
维生素K缺乏病,1-2周
维生素B12缺乏所致贫血,2-4月
小儿过敏性紫瘢,4-12周
血栓性血小板减少性紫癜,2-4月
血小板减少症,3-6月
血友病,1-6个月
新生儿败血症,2-8周
新生儿溶血病,7天
血管母细胞瘤,1-3个月
先天性红细胞膜病,2-3月
血管性血友病,3个月
遗传性血色病,终身间歇性治疗
叶酸缺乏所致贫血,1-3个月
遗传性出血性毛细血管扩张症,4-6月
营养性巨幼红细胞性贫血,1-2个月
原发性血小板减少性紫瘢,1-3年
原发性血小板增多症,终身间断治疗
异常血红蛋白病,3个月
中性白(粒)细胞减少症,1-3个月
组织细胞增殖症,2-4个月
再生障碍性贫血,6-12个月
自身免疫性溶血性贫血,3-6个月
真性红细胞增多症,1-3个月
阵发性睡眠性血红蛋白尿,30天
白塞综合征,3-6月
白塞病,3-6月
Behcet病,3-6月
迟发性低丙球血症,1-3个月
常年性鼻炎,3个月
多发性大动脉炎,10-20天
多发性肌炎,1-2个月
大骨节病,1-3个月
淀粉样变病,4-6月
二水焦磷酸钙结晶沉积症,1-3个月
风湿性多肌痛,14天
肥大细胞增多症,10天
过敏性哮喘,7-14天
高尿酸血症,10-30天
干燥综合征,7天
骨关节炎,1-2个月
红斑狼疮,3-6个月
混合结缔组织病,3-6月
碱性磷酸钙结晶沉积病,2--3周
巨细胞动脉炎,2-4周
结节性多动脉炎,3个月
结节性脂膜炎,1-3个月
急性化脓性腱鞘炎,7-14天
结节病,3-6个月
肩关节结核,3-9个月
急性淋巴管炎,14天
枯草热,1-2个月
类风湿关节炎,3-5个月
慢性皮肤粘膜念珠菌病,1-3个月
慢性肉芽肿病,1-3个月
皮下脂质肉芽肿病,1-2年
盘状红斑狼疮,1-2个月
皮肤过敏,1-2周
强直性脊柱炎,120天(大部分需要终身治疗)
羟磷灰石沉积病,1-3个月
气性坏疽,3个月
Reiter综合征,3-6月
乳房纤维瘤,3-6周
软组织肿瘤,3个月
嗜酸性筋膜炎,3-6个月
Ⅳ型超敏反应性疾病,1-3个月
Ⅲ型超敏反应性疾病,8-12周
手掌深部间隙感染,7-14天
食物变应性和不耐受性,3-5年
痛风,30天
痛风性关节炎,4-8周
物理性变应性,1-3年
小儿风湿热,3-5个月
先天性胸腺发育不全,终身间歇性对症治疗
血清病,3个月
选择性IgA缺乏症,1-6个月
纤维瘤病,7天
新生儿皮下坏疽,6个月
原发性免疫缺陷病,3个月
银屑病关节炎,8-12周
遗传性补体缺陷病,3个月
遗传性血管性水肿,1-2年
药物过敏,2-4周
严重联合免疫缺陷病,3个月
Ⅰ型超敏反应性疾病,治疗周期7天
硬皮病,10-30天
重叠综合征,2-5月
创伤性窒息,10-30天
创伤性气胸,2-4周
动脉硬化性闭塞症,3-6月
肺栓塞和肺梗死,2-4周
肺错构瘤,1-2个月
肺爆震伤,2-4月
肺包虫病,2-3个月
感染性肋软骨炎,1-7天
膈肌膨出,4-8周
急性气管－支气管炎,7天
鸡胸,1-2年
矫正型大动脉错位,10-30天
继发性纵隔感染,21天
局限型间皮瘤,1-2个月
急性脓胸,1-3个月
肋骨骨折,90天
联合瓣膜病变,手术治疗周期14天
漏斗胸,1-3个月
慢性支气管炎,10-30天
慢性缩窄性心包炎,1-2个月
慢性心功能不全,1-2月
慢性心包炎,治疗周期90天
慢性心力衰竭,终身服药治疗
梅毒性心血管病,1-3个月
慢性肺炎,14天
慢性脓胸,2-4月
乳头肌功能不全,10-30天
食管裂孔疝,7天
损伤性休克,2-4周
缩窄性心包炎,3周—3个月
外伤性乳糜胸,3个月
心脏穿透伤,1个月
胸骨骨折,1-3个月
限制型心脏病,2-4个月
胸廓出口综合征,7-14天
先天性膈疝,1月
心性猝死综合征,1-7天
心脏钝性闭合伤,1个月
原发性心脏肿瘤,1-3个月
右心室双出口,3-6个月
永存动脉干,3-6个月
预激综合征,30天
原发性纵隔感染,1-3个月
原发性纵隔肿瘤,14-30天
纵隔脓肿,1-3个月
转移性胸膜肿瘤,1-3个月
搏动性眼球突出症,14--21天
创伤性枢椎前滑脱,1-3个月
侧脑室肿瘤,3-6个月
第四脑室肿瘤,1-3个月
顶叶肿瘤,1-3个月
短颈畸形,1-2周
多发性颅内血肿,2个月
蝶窦恶性肿瘤,1-3个月
第三脑室肿瘤,1-3个月
额叶肿瘤,1-3个月
耳源性脑积水,一周
耳内脑膜脑疝,1-2个月
高血压性脑出血,7-10天
高血压脑病,45天
寰椎骨折脱位,1-2个月
系统性红斑狼疮,6个月
颈椎半脱位,1-2周
颈椎骨折脱位,1-3个月
颈椎管狭窄症,3-6月
颈椎过伸性损伤,3-10周
颈椎后脱位,1-3个月
颈椎后纵韧带骨化症,3个月
颈椎黄韧带骨化症,1-3个月
颈椎结核,2-3年
颈椎小关节创伤性退变性关节炎,3-6个月
颈椎椎弓裂,3-6月
基底节血肿,2-3个月
急性单纯疱疹病毒性脑炎,2--6个月
急性颈椎间盘突出症,药物治疗周期60天，手术治疗周期14天
脊椎结核,1-3个月
脊柱裂,1-3年
肌营养不良症,1-3个月
急性硬脑膜外血肿,10-14天
急性和亚急性硬脑膜下血肿,2-4月
急性及亚急性脑内血肿,10-30天
脊髓小脑变性症,2-4月
颅骨骨髓炎,3周--3月
颅骨缺损,1-3个月
颅底骨折,2-3个月
颅内动脉瘤,3个月
颅内低压性头痛,2-4周
颅内占位性病变引起的头痛,1-2个月
颅内转移瘤,3-6月
帽状腱膜下脓肿,2-4月
面神经损伤,3-6个月
慢性硬脑膜外血肿,2个月
脑室炎,1-3周
脑性瘫痪,1-6个月
脑囊虫病,3-6个月
脑疝,2—4周
脑蛛网膜下腔出血,2-3个月
脑震荡,1-6个月
脑血栓形成,3-6个月
脑损伤后综合征,30天
脑室内出血,2-4周
脑脊液漏,21天
脑弓形体病,30天
脑挫裂伤,30天
脑膜炎,2-4个月
脑积水,30天
脑结核瘤,3个月
脑垂体腺瘤,1-2个月
脑膜瘤,3-6月
皮脂腺囊肿,1-2周
迁延性昏迷,3个月
丘脑下部损伤,1-3个月
上皮样囊肿,2-4周
神经胶质瘤,3-6个月
散发性脑炎,7-14天
头皮血肿,10--21天
听神经鞘瘤,2-4个月
外伤性颈内动脉海绵窦瘘,1-3个月
外伤性癫痫,2-3年
外伤后脑脂肪栓塞,一个星期
外伤后脑膨出,1-3个月
外伤后颅内积气,1-3个月
外伤后低颅压综合征,3-6个月
外伤后头痛,3-6周
外伤性硬脑膜下积液,1-3个月
先天性脑积水,1-3年
新生儿颅内出血,7-14天
小脑扁桃体疝,1-3个月
先天性肿瘤,1-3年
硬脑膜下血肿,1-3个月
蛛网膜下腔出血,2-4周
中风,30天
周围神经损伤,2-4月
胆囊癌,3个月
胆囊腺肌增生病,1-2周
胆结石,10-30天
胆管良性狭窄,1-2周
胆管扩张症,1-2个月
胆管结石与胆管炎,2-4周
胆道蛔虫病,7—14天
胆道出血,1-3个月
乏特壶腹周围癌,2-4个月
肝棘球蚴病,3-6个月
肝性血卟啉病综合征,3-5年
肝内胆管结石,1-3个月
肝包虫病,1-2个月
环状胰腺,3个月
急性结石性胆囊炎,15天
急性出血坏死型胰腺炎,14-21天
溃疡病急性穿孔,10-15天
慢性胆囊炎,5-15天
慢性胆管炎,长期的服用药物治疗
门静脉高压症,6-12个月
生长激素释放抑制素瘤,2-4月
胰腺癌,3-6个月
胰腺囊腺癌,3-6个月
原发性硬化性胆管炎,1-2个月
异位胰腺,4-8周
胰腺外伤,4-12周
胰腺囊肿,1-3个月
胰腺脓肿,4-8周
胰腺瘘,10-30天
胰腺多肽瘤,1-3个月
胰石症,1-2个月
胰岛细胞类癌,需长期服药治疗
包皮龟头炎,7-14天
包皮阴茎头炎,一个星期
附睾炎,3-6个月
非细菌性前列腺炎,1-3个月
梗阻性肾病,10-30天
睾丸扭转,2-4周
后尿道瓣膜,2-4周
结核性膀胱挛缩,1～2年
结核性膀胱自发破裂,3--6个月
急性膀胱炎,5-7天
精索静脉曲张,2-4个月
男生殖系结核,需终身服药治疗
尿道下裂,3-6个月
尿路梗阻,2-4周
尿瘘,30天
尿道创伤,3周
尿道狭窄,1-3个月
尿道损伤,7-14天
男性尿道癌,1--6个月
女性尿道癌,30天
膀胱损伤,1-3个月
膀胱结石,7-14天
膀胱瘘,1-3个月
膀胱外翻,1-2个月
脐尿管囊肿及脐尿管瘘,1-2个月
鞘膜积液,1-2周
前列腺增生,7天
前列腺炎,1-2个月
前列腺癌,20--30天
射精功能障碍,7-30天
肾上腺性征异常症,1-3个月
肾损伤,10-30天
输尿管结石,治疗周期1-2周
肾创伤,3-5个月
肾上腺髓质功能亢进,需长期服药治疗
肾皮质髓质脓肿,3-6周
肾皮质脓肿,3-6个月
肾周脓肿,10-30天
肾盂癌,1-2个月
肾胚胎瘤,1-2年
肾盂肿瘤和输尿管肿瘤,3-6个月
肾癌,1-3个月
隐睾,2-4周
遗精,3-6月
阴茎异常勃起,2-4周
婴幼儿外阴炎,7天
阴茎硬结症,10-30天
I型肾小管性酸中毒,3-6个月
白线疝,3周
成人脐疝,1-2周
穿腹膜疝,1-2周
儿童遗粪症,治疗需要长期坚持
腹膜后血肿,2-4周
腹内疝,3-7天
腹股沟直疝（疝气）,30天
腹股沟斜疝,2-3周
粪瘘,1-2个月
肛窦炎,1-3个月
肛瘘,7--10天
肛门瘙痒症,一个星期
肛门失禁,1-2个月
肛门外伤,2-4周
肛门异位,1-3个月
肛乳头炎,8-12周
肛周脓肿,14天
骨盆直肠脓肿,1-2周
肛门直肠周围脓肿,2-4月
肛裂,3-6周
肛周湿疹,7--10天
孤立性直肠溃疡综合征,2-4个月
肛提肌综合征,1-3个月
会阴裂伤,2-4周治疗周期
结肠过敏症,2-4周
急性出血性坏死性小肠炎,治疗周期10天
结肠脂肪瘤,2-4周
溃疡病大出血,8-12周
蓝氏贾第鞭毛虫病,2-4周
盲肠肉芽肿,3-6周
内痔,30天左右
蛲虫病,3-7天
外痔,1-3周
先天性直肠与周围脏器瘘,1-2周
直肠息肉,2周
直肠癌,2-4个月
痔疮,2一4周
直肠内异物,1-2周
坐骨直肠窝脓肿,14-21天
直肠重复畸形,1-3年，需多次手术
直肠阴道瘘,6-12个月，可能需要多次手术矫正
直肠前突,4-8周
直肠闭锁,1-3年，需多次手术
扁平足,1-3个月
髌骨骨折,3-4个月
髌骨软化症,1-3个月
变形性骨炎,1-2个月
剥脱性骨软骨炎,1-2周
髌股关节疼痛,6-8周
鼻骨骨折,4周
耻骨结核,1-2年
尺桡骨干双骨折,1-3个月
成骨不全,需长期服药治疗
尺骨上1/3骨折合并桡骨头脱位,120天
尺骨下1/3骨折合并下尺桡关节脱位,120天
尺桡骨干骨折,2-4月
脆弱性骨硬化,120天
创伤性肘关节炎,1-3个月
尺骨鹰嘴骨折,1-3个月
成软骨细胞瘤,30天
第三腰椎横突综合征,3-6个月
动脉瘤样骨囊肿,2-4个月
断指再植,7--21天
多发性骨骺发育异常,3月或更长时间
点状骨骺发育异常,120天
单侧关节突关节脱位,1天
骶髂关节结核,需长期服药治疗
骶髂关节扭伤,60天
风湿性关节炎,3-6个月
腓骨近端骨折,1-3个月
Friedreich共济失调症,需终身服药治疗
腓骨肌萎缩症,需长期服药治疗
骨肉瘤,1-2个月
骨折,1-3个月
感染性关节炎,10-15天
关节脱位,2-4周
跟骨骨折,国内最认可的有效治疗手段的该病治疗周期(骨折愈合时间3-7个月，平均4.5个月)
肱骨干骨折,4周--13周
肱骨髁上骨折,10-30天
肱骨内髁骨折,1-3个月
肱骨外髁骨折,1-3个月
佝偻病,60天
股骨粗隆间骨折,120天
股骨干骨折,2-5个月
骨硬化病,1-3个月
骨放线菌病,120天
骨化性肌炎,120天
骨巨细胞瘤,3-6个月
骨囊肿,1-2个月
骨盆骨折,180天
骨纤维异常增殖症,2-4个月
骨软骨瘤,3个月
肱骨小头骨折,1-3个月
骨干续连症,2-4周
骨与关节结核,需长期服药治疗
骨肿瘤,4-8周
股骨大粗隆结核,3-6个月
肱骨远端全骺分离,1-2个月
肱骨内上髁骨折,1-3个月
骨包囊虫病,2-4周
股骨头骨骺骨软骨病,2-4个月
骨样骨瘤,3-6个月
骨髓炎,10-15天
肱骨外上髁炎,30天
腘肌腱损伤,1-2个月
跟腱前囊炎,1-2周
骨与关节梅毒,需要终身治疗
骨外软骨肉瘤,3-6个月
骨旁骨肉瘤,3-6个月
骨膜性软骨肉瘤,3-6个月
骨的原发性淋巴瘤,3-6个月
骨雅司病,1-3个月
股骨髁骨折,1-3个月
跟骨骨髓炎,1-3个月
高弓足,数月
股骨颈骨折,保守治疗周期180天手术治疗周期90天
肱骨外科颈骨折,20天
股骨头坏死,30-100天
肱骨内上髁炎,2-4个月
股后肌劳损,4-8周
跟腱后滑囊炎,3-6个月
跟骨骨刺综合征,3个月
颌骨骨折,2-5个月
喙突胸小肌综合征,3个月
寰枢椎旋转脱位固定,1-3个月
寰枢关节脱位,手术治疗周期7天
化脓性关节炎,10-30天
颌骨造釉细胞瘤,3-6个月
踝部骨折,1-3个月
踝关节扭伤,7-14天
滑囊炎,10-30天
滑膜肉瘤,1-2个月
横纹肌肉瘤,1-3个月
褐黄病性关节炎,1-2个月
颌面部骨巨细胞瘤,3-6个月
踝扭伤,2-4周
间充质软骨肉瘤,3-6月
假痛风性关节炎,3个月
距骨骨折,90天
局限性骨脓肿,1-3个月
颈肋综合征,2-4周
肩-手综合征,1-2个月
脊椎椎弓峡部裂,2-4个月
脊椎结核后突畸形,需长期服药治疗
脊椎结核并发截瘫,需长期服药治疗
脊柱侧凸,1-2个月
脊柱、脊髓损伤,1-3个月
脊髓空洞症,需长期服药治疗
急性血源性骨髓炎,1-2个月
畸形性骨炎,1-2年
肌萎缩侧索硬化症,永久性治疗
急性腰扭伤,7-14天
肩关节脱位,治疗周期1天
脊椎结核寒性脓肿穿入空腔脏器,需长期服药治疗
脊髓肿瘤,3个月
距骨后外结节骨折,3个月
肌张力异常,3-6个月
痉挛性斜颈,5--10天
肌腱炎和腱鞘炎,1-3月
脊髓灰质炎,1-3个月
胫骨髁骨折,2-3个月
胫骨内髁骨软骨病,3-6个月
胫骨结节骨软骨病,1个月
胫腓骨干骨折,治疗周期180天
进行性脊髓性肌萎缩症,1-3个月
进行性骨干发育不全,3-6月
甲状旁腺骨营养不良,3-6月
脊椎结核并发窦道,需长期服药治疗
脊椎骨髓炎,1-3个月
肌萎缩性侧索硬化,2个月
胫腓骨骨折,1个月
僵鉧,1—2个月
胫后神经痛,1-2个月
眶底骨折,3月-2年
髋关节脱位,1-7天
髋关节结核,2-3年
肋锁综合征,3-6个月
梨状肌综合征,1-2个月
Maffucci综合征,1-3个月
慢性化脓性骨髓炎,1--2周(治疗周期1-2周，但延误治疗可数年不愈)
难产,7-10天
颞骨骨折,3-6个月
颞下颌关节脱位,1-3天
颞下颌关节强直,14-21天
颧骨骨折,2-3个月
缺血性坏死,10-30天
屈肌腱损伤,1-2个月
前斜角肌综合征,2-4周
桡骨小头骨骺分离,治疗周期30天
桡骨下端骨折,治疗周期30天
桡骨颈骨折,3-6个月
桡骨、尺骨茎突骨折,治疗周期90天
桡骨小头半脱位,2-4周
软骨肉瘤,30天
软骨瘤,3-6个月
软骨发育异常,30天
软骨发育不全,3个月
桡骨小头骨折,90天
桡骨远端骨折,3-6个月
松毛虫性骨关节病,1-2个月
锁骨骨折,1-3个月
枢椎齿状突骨折,3个月
神经性关节病,30天
神经卡压综合征,1-3个月
伸指肌腱损伤,2-4周
少年性椎体骨软骨病,3个月
色素绒毛结节性滑膜炎,4-6周
同型胱氨酸尿症,1-3个月
退变性关节病,1-2个月
听小骨创伤,1-3个月
特发性脊柱侧凸,3-6个月
透明细胞软骨肉瘤,1-3个月
维生素D缺乏性佝偻病,1-3个月
无脊髓损伤的颈椎骨折脱位,3-6个月
腕舟骨骨折,1-2个月
腕管综合征,2-3月
腕关节结核,3-6个月
斜颈,2-4个月
先天性肘关节融合,3-6周
先天性仰趾外翻足,3-6个月
先天性锁骨假关节,3-6周
先天性马蹄内翻足,3-6个月
先天性髋内翻,2-4周
先天性胫骨假关节,1-2个月
先天性脊柱侧凸,1-3个月
先天性肌性斜颈,2--6周
先天性高肩胛症,2-4周
先天性尺桡骨融合,3-6周
颈椎双侧关节突关节脱位,1-3个月
习惯性髌骨脱位,1-3个月
膝关节结核,9个月
先天性桡骨缺如,2-4个月
胸椎结核椎旁脓肿穿入胸腔,3-6个月
先天性颅锁骨发育不全,1-3个月
下背部痛,1-3个月
纤维肌痛症,6-8周
先天性椎体畸形,3-6个月
先天性外展性髋挛缩,2-4周
先天性胫骨缺如,3-6周
先天性颈椎齿状突畸形,3-6个月
先天性桡骨小头脱位,3-6个月
先天性多发性关节挛缩症,需反复手术
先天性垂直距骨,3个月
系统性红斑狼疮性关节炎,1-3个月
膝关节创伤性滑膜炎,1-3个月
膝关节半月板损伤,30天
先天性肩关节脱位,2-4个月
旋转带肌腱炎,1-2个月
腰肌劳损,4周
月状骨骨软骨病,6-8周
月骨脱位,10-30天
腰部慢性劳损,8-12周
眼眶击出性骨折,2-4个月
眼眶骨折,3-6月
坐骨神经痛,1个月
跖骨疲劳性骨折,3个月
灼性神经痛,1-2周
椎管内结核肉芽肿,1-3年，可能需多次手术
肘关节结核,1-3个月
跖骨、趾骨骨折,2-4周
掌指关节脱位,立即复位即可
肘关节脱位,1天
肢骨纹状肥大,需长期治疗
椎弓结核,3个月
趾间神经痛,1-3个月
肘关节骨化肌炎,2-6周
肘关节强直,1-2个月
肘外翻,1-3个月
足舟状骨骨软骨病,2-4周
姿态性腰腿痛,1-3个月
周围性软骨肉瘤,1-3个月
致密性髂骨炎,1-3个月
跖趾关节痛,1-3个月
闭合性脑外伤,1-3个月
鼻窦创伤,2-4个周
鼻疖,1-3个月
鼻窦气压性创伤,2-4周
爆震性耳聋,1-2个月
创伤性溃疡,1-3个月
尺神经损伤,1个月
创伤性鼻中隔穿孔,2-4周
创伤性鼻出血,1-3个月
